ZDN max_sacc_amp -1.2497676317156203
ZMG sent_gaze_sacc -1.3750646832303197 0.4902636964249068 1.763903142290989 -1.161074824092033 0.07941880671235757 -3.572552359112092 -0.2619779972823276 -1.2313877382854295 0.43199159338621845
ZMG sent_gaze_eeg_means -0.9105125408380763 0.7327593195940193 1.3578957114113654 -0.908161596849921 0.08246399114184605 -3.5220554710476764 -0.26786777920700994 -0.7924357661530333 0.38193593452113817 0.6655738361885901 2.704117277103896
ZGW max_sacc_amp 1.2824523011777176
ZGW mean_sacc_amp 1.1138628592869855
ZGW sent_saccade 0.06518006069811311 3.6985231370028675 -0.5224212081741745 -0.6324568929484707 -3.9539497192567037 2.172243482435287
ZGW sent_gaze_sacc -0.5432490858281398 0.6608989549325467 3.5861625492311067 0.3862908855405258 2.273097193464195 -1.4168941192787299 0.18310842083618253 -2.27666059246297 1.0452120090531025
ZGW sent_gaze_eeg_means -0.5284103567425662 0.7386357759826312 2.9665474375254495 0.30997306078605075 2.930801546359118 -2.728561904197995 0.2620860629416549 -2.0398031862793915 1.3523483268065315 0.33205619574507983 -1.4320743077563032
ZKW max_sacc_amp 0.3802485377918201
ZKW mean_sacc_amp -3.7423976802088377
ZKW sent_saccade 0.09784760265726583 0.3023651684651306 -2.8561309700344713 1.1992511255890204 -3.073843288746393 1.1366282449820295
ZKW sent_gaze_sacc -0.456336116473694 -0.3596371055180565 3.1465765407990154 0.7036001184297506 -0.3451558470732091 -1.9757640147810225 0.7842559405126356 -2.3728257151878083 0.8711573286262054
ZKW sent_gaze_eeg_means -0.35723594577046813 -0.23279411286285842 2.2543843021965384 -0.8514164132640542 0.21637732025799955 -2.4540682067215 0.7177820986553837 1.7595016202932934 -0.24234414366804954 3.749103065865601 -3.1872721299953457
ZDM max_sacc_amp -1.5806393410207766
ZDM mean_sacc_amp -5.835187191019611
ZDM sent_saccade -0.3659850002050708 -0.23005484819846087 -1.6547467848009256 0.7065653697124487 -5.382531902574825 1.0324462708116433
ZDM sent_gaze_sacc -1.857439059656289 -0.4207748205101483 1.5318344099280512 0.16585698063863638 -0.6963765568244875 -0.9252394946596578 0.21054620100156163 -3.900578221398427 0.7802563520735961
ZDM sent_gaze_eeg_means -1.6981776350390325 0.0021567973714757983 0.9336135367458002 0.17481335726082506 -0.2899697460273287 -3.431372527006351 0.7752111437369479 0.11407813090518623 2.765622210934764 -1.1408844553787254 3.2133206113193835
